#run	treatment-20260815T165323Z
task	cycle	commit	surface_bytes
specA	1	3bcc359db4f02be80984e6483172510c2da3f2dc	64049
specA	2	3bcc359db4f02be80984e6483172510c2da3f2dc	34414
implB	1	3bcc359db4f02be80984e6483172510c2da3f2dc	52587
implB	2	3bcc359db4f02be80984e6483172510c2da3f2dc	6887
protoC	1	3bcc359db4f02be80984e6483172510c2da3f2dc	62631
protoC	2	3bcc359db4f02be80984e6483172510c2da3f2dc	30591
